iter	Accuracy	MultiClass
0	0.4411554412	2.154799335
1	0.4869154869	2.049076794
2	0.5272415272	1.954340789
3	0.5484055484	1.878278406
4	0.5536965537	1.813838609
5	0.5618475618	1.754443243
6	0.5704275704	1.696918535
7	0.5831545832	1.646202632
8	0.5825825826	1.603811805
9	0.5934505935	1.565706078
10	0.6028886029	1.528214612
11	0.6087516088	1.492209609
12	0.6121836122	1.461685797
13	0.6206206206	1.43077478
14	0.6280566281	1.403189222
15	0.6279136279	1.380759054
16	0.6310596311	1.357341431
17	0.6360646361	1.335531427
18	0.6420706421	1.312115044
19	0.6476476476	1.29156314
20	0.6519376519	1.27108225
21	0.6530816531	1.253827218
22	0.6582296582	1.235494581
23	0.6608036608	1.219401364
24	0.664950665	1.201952461
25	0.6673816674	1.185346942
26	0.6698126698	1.169785099
27	0.6733876734	1.156367708
28	0.6748176748	1.145026992
29	0.6782496782	1.131281609
30	0.681967682	1.116935688
31	0.684970685	1.103886654
32	0.6875446875	1.095666339
33	0.690976691	1.084853667
34	0.6941226941	1.075673605
35	0.6932646933	1.069641196
36	0.695981696	1.060478613
37	0.697983698	1.051988607
38	0.7011297011	1.041398751
39	0.7045617046	1.032088265
40	0.7065637066	1.024319312
41	0.7077077077	1.015263647
42	0.7111397111	1.00527309
43	0.7145717146	0.9958040868
44	0.7167167167	0.9879692865
45	0.718003718	0.9805324266
46	0.7192907193	0.9724261858
47	0.7205777206	0.9656238886
48	0.7207207207	0.9586258448
49	0.7222937223	0.9528678753
50	0.7255827256	0.9457906136
51	0.729014729	0.9388126919
52	0.7307307307	0.9326485031
53	0.7331617332	0.9247219521
54	0.7347347347	0.9176284402
55	0.7354497354	0.9106649045
56	0.736021736	0.9058740432
57	0.7387387387	0.899882178
58	0.7405977406	0.8960307865
59	0.7417417417	0.8893082051
60	0.7438867439	0.8837979401
61	0.7463177463	0.8781226358
62	0.747032747	0.8719456282
63	0.7493207493	0.8670499118
64	0.7497497497	0.8621460804
65	0.752037752	0.8569168007
66	0.7534677535	0.8525699168
67	0.7543257543	0.8485231287
68	0.7558987559	0.8429811353
69	0.7593307593	0.8367308654
70	0.7606177606	0.8326428542
71	0.7617617618	0.8275997174
72	0.7621907622	0.8250849377
73	0.762047762	0.8218438035
74	0.7629057629	0.8170834178
75	0.7647647648	0.8130071689
76	0.7673387673	0.8083123073
77	0.7687687688	0.8032609127
78	0.7696267696	0.799134065
79	0.7722007722	0.7936367221
80	0.7722007722	0.7907328817
81	0.7729157729	0.7871501219
82	0.7740597741	0.7836706342
83	0.7756327756	0.7802170124
84	0.7776347776	0.7750383964
85	0.7802087802	0.7717317736
86	0.7827827828	0.7667875336
87	0.7823537824	0.763659577
88	0.7824967825	0.7603847908
89	0.7853567854	0.757619074
90	0.7879307879	0.7536143872
91	0.7892177892	0.7494408009
92	0.7909337909	0.7459405466
93	0.7905047905	0.743908839
94	0.7916487916	0.7398481632
95	0.7930787931	0.734794682
96	0.7942227942	0.7315004167
97	0.7957957958	0.7288680235
98	0.7972257972	0.7250174401
99	0.7990847991	0.721161441
100	0.8006578007	0.7178222275
101	0.8006578007	0.7151227375
102	0.8025168025	0.7120582877
103	0.8035178035	0.7096908879
104	0.8042328042	0.706109065
105	0.8050908051	0.7037261892
106	0.8069498069	0.7011976294
107	0.8088088088	0.6986745611
108	0.8102388102	0.6963189323
109	0.8120978121	0.6926512667
110	0.8126698127	0.6890873979
111	0.8128128128	0.6867011618
112	0.8142428142	0.6830928652
113	0.8162448162	0.6798600285
114	0.8163878164	0.6775619348
115	0.8155298155	0.6743866664
116	0.8172458172	0.670873469
117	0.8176748177	0.6681817372
118	0.8183898184	0.6653862138
119	0.8198198198	0.6625481537
120	0.8205348205	0.6594529817
121	0.8216788217	0.6571115725
122	0.823966824	0.6539674833
123	0.8236808237	0.6508803216
124	0.8246818247	0.6481147107
125	0.8248248248	0.645629753
126	0.8268268268	0.6424489329
127	0.8285428285	0.6399313769
128	0.8285428285	0.6369174112
129	0.8302588303	0.633695877
130	0.830973831	0.6322015444
131	0.8315458315	0.6294146637
132	0.8331188331	0.6267424967
133	0.833976834	0.6241867234
134	0.8348348348	0.6217550759
135	0.8355498355	0.6203871469
136	0.8355498355	0.6183112925
137	0.8354068354	0.6167222037
138	0.835978836	0.6144999407
139	0.8374088374	0.6121155621
140	0.8381238381	0.6107510855
141	0.8384098384	0.6095535678
142	0.8396968397	0.6070787579
143	0.8401258401	0.6051798001
144	0.8411268411	0.603107589
145	0.8421278421	0.6019871199
146	0.8438438438	0.59928229
147	0.843986844	0.5974017488
148	0.8448448448	0.5955578883
149	0.844987845	0.5935175904
150	0.8447018447	0.5917551665
151	0.8461318461	0.590056972
152	0.8467038467	0.5879196691
153	0.8468468468	0.5861067901
154	0.8481338481	0.5842612947
155	0.8491348491	0.5828124045
156	0.8498498498	0.5805958936
157	0.8502788503	0.5777671292
158	0.8514228514	0.575975267
159	0.8532818533	0.5735518291
160	0.8545688546	0.5712880567
161	0.8555698556	0.5697570033
162	0.8562848563	0.5680053125
163	0.8565708566	0.566063081
164	0.856999857	0.5636564963
165	0.8578578579	0.5611557976
166	0.8582868583	0.5591585946
167	0.8592878593	0.5576725881
168	0.8604318604	0.5557022229
169	0.862004862	0.5532192897
170	0.8618618619	0.5512698886
171	0.863005863	0.549989618
172	0.864006864	0.5483568767
173	0.864006864	0.5465126784
174	0.8647218647	0.5443226393
175	0.8654368654	0.5427762912
176	0.8657228657	0.5410843485
177	0.8661518662	0.5396418262
178	0.8664378664	0.5384479747
179	0.8674388674	0.5365893075
180	0.8671528672	0.5342844037
181	0.8682968683	0.5333005395
182	0.8685828686	0.5314664259
183	0.8695838696	0.5293782568
184	0.8704418704	0.5280845644
185	0.87001287	0.5258639603
186	0.8717288717	0.5242076872
187	0.872014872	0.5230722581
188	0.8724438724	0.5211508346
189	0.8728728729	0.5197284581
190	0.8731588732	0.5178277421
191	0.8748748749	0.5163687517
192	0.876018876	0.514210465
193	0.8758758759	0.5128915721
194	0.8778778779	0.5113155982
195	0.8771628772	0.5101258172
196	0.8778778779	0.5082655952
197	0.8805948806	0.5057950034
198	0.8805948806	0.5040336934
199	0.8818818819	0.5024085835
200	0.883025883	0.5000980513
201	0.8828828829	0.4988153332
202	0.8841698842	0.4972787321
203	0.8843128843	0.4961889703
204	0.8848848849	0.494482733
205	0.8863148863	0.492421596
206	0.8857428857	0.4910443404
207	0.8867438867	0.489841907
208	0.8873158873	0.4875651344
209	0.8887458887	0.4852588894
210	0.8901758902	0.4834891856
211	0.8907478907	0.4820855142
