iter	Passed	Remaining
0	161	161002
1	191	95398
2	221	73764
3	251	62743
4	283	56345
5	313	52001
6	342	48623
7	374	46464
8	404	44571
9	433	42907
10	464	41779
11	495	40797
12	528	40153
13	560	39498
14	594	39033
15	625	38489
16	659	38119
17	691	37709
18	726	37503
19	756	37086
20	790	36833
21	820	36478
22	852	36208
23	885	36010
24	921	35950
25	954	35746
26	991	35721
27	1026	35646
28	1063	35601
29	1098	35518
30	1132	35405
31	1166	35301
32	1198	35129
33	1231	34992
34	1263	34846
35	1294	34673
36	1328	34574
37	1361	34468
38	1394	34355
39	1427	34251
40	1458	34106
41	1488	33947
42	1518	33797
43	1549	33662
44	1583	33607
45	1615	33509
46	1650	33457
47	1682	33376
48	1714	33275
49	1746	33179
50	1775	33044
51	1811	33016
52	1846	32993
53	1881	32969
54	1915	32917
55	1950	32881
56	1984	32827
57	2018	32777
58	2050	32706
59	2083	32648
60	2117	32597
61	2150	32531
62	2181	32440
63	2213	32365
64	2244	32288
65	2277	32234
66	2311	32187
67	2345	32144
68	2381	32130
69	2417	32116
70	2453	32100
71	2487	32061
72	2523	32041
73	2556	31993
74	2591	31961
75	2624	31913
76	2658	31869
77	2692	31829
78	2729	31817
79	2762	31765
80	2797	31744
81	2831	31698
82	2865	31653
83	2899	31622
84	2934	31586
85	2969	31554
86	3000	31487
87	3034	31452
88	3070	31425
89	3105	31398
90	3139	31356
91	3172	31315
92	3204	31255
93	3235	31184
94	3266	31121
95	3298	31061
96	3329	30997
97	3361	30938
98	3393	30884
99	3424	30817
100	3455	30754
101	3485	30688
102	3516	30627
103	3552	30603
104	3586	30573
105	3620	30533
106	3656	30519
107	3691	30490
108	3729	30482
109	3762	30443
110	3795	30399
111	3829	30363
112	3859	30297
113	3894	30265
114	3928	30230
115	3962	30195
116	3993	30137
117	4025	30087
118	4058	30043
119	4091	30006
120	4126	29976
121	4161	29946
122	4195	29915
123	4230	29885
124	4264	29852
125	4299	29821
126	4335	29800
127	4369	29768
128	4404	29739
129	4439	29712
130	4474	29680
131	4508	29647
132	4542	29614
133	4576	29579
134	4610	29540
135	4640	29478
136	4672	29432
137	4700	29364
138	4735	29331
139	4766	29279
140	4800	29242
141	4833	29206
142	4868	29174
143	4902	29140
144	4935	29099
145	4966	29049
146	4996	28990
147	5029	28955
148	5062	28913
149	5095	28873
150	5128	28836
151	5163	28806
152	5199	28784
153	5233	28752
154	5268	28722
155	5303	28690
156	5336	28656
157	5371	28627
158	5403	28579
159	5434	28529
160	5465	28479
161	5495	28426
162	5526	28378
163	5556	28325
164	5588	28281
165	5622	28248
166	5663	28247
167	5696	28213
168	5733	28191
169	5768	28165
170	5804	28138
171	5839	28109
172	5876	28092
173	5913	28069
174	5949	28048
175	5986	28029
176	6023	28009
177	6059	27981
178	6094	27951
179	6127	27914
180	6159	27872
181	6188	27814
182	6219	27764
183	6249	27713
184	6277	27655
185	6308	27610
186	6340	27564
187	6369	27512
188	6399	27458
189	6431	27419
190	6465	27387
191	6496	27340
192	6527	27293
193	6560	27255
194	6594	27221
